@relation InstanceResultListener

@attribute Key_Dataset {opla_dm1_nominal,opla_dm10_nominal,opla_dm11_nominal,opla_dm12_nominal,opla_dm3_nominal,opla_dm4_nominal,opla_dm5_nominal,opla_dm6_nominal,opla_dm7_nominal,opla_dm8_nominal,opla_dm9_nominal}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

opla_dm1_nominal,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1073,120,119,1,0,99.166667,0.833333,0,0.92891,0.008632,0.091203,7.898727,38.913595,38.495853,10.123126,28.372728,0.320799,0.084359,0.236439,34.242564,0.285355,88.951305,0.99115,112,0,0,1,7,0.00885,1,1,0.99115,0.995556,0.931266,1,1,0.991667,0.000516,0.999484,0.008333,0.992708,0.991667,0.991926,0.931266,1,1,0.964444,0.991667,0.001,0.004,0,0,0,0,155031,153094,18721,99.166667,50,?
opla_dm1_nominal,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1073,120,119,1,0,99.166667,0.833333,0,0.92891,0.008556,0.091203,7.829508,38.913401,38.495853,10.110023,28.38583,0.320799,0.08425,0.236549,34.255667,0.285464,88.985342,0.99115,112,0,0,1,7,0.00885,1,1,0.99115,0.995556,0.931266,1,1,0.991667,0.000516,0.999484,0.008333,0.992708,0.991667,0.991926,0.931266,1,1,0.964444,0.991667,0.001,0.003,0,0.015625,0,15.625,155087,153094,18721,99.166667,50,?
opla_dm1_nominal,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1073,120,120,0,0,100,0,0,1,0.00024,0.000342,0.219192,0.146064,38.495853,0.041479,38.454375,0.320799,0.000346,0.320453,38.454375,0.320453,99.892252,1,113,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.004,0,0,0,0,155087,153094,18721,100,50,?
opla_dm1_nominal,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,119,0,0,100,0,0,1,0.000262,0.000383,0.254533,0.174952,34.401056,0.045051,34.356005,0.289085,0.000379,0.288706,34.356005,0.288706,99.869042,1,113,0,0,1,6,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.004,0,0,0,0,155220,153235,18580,100,50,?
opla_dm1_nominal,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.904724,0.008657,0.091585,8.399448,41.827194,34.401056,10.116357,24.284699,0.289085,0.085011,0.204073,30.176276,0.253582,87.719041,1,113,0.166667,1,0.833333,5,0,0,0.991228,1,0.995595,0.908858,0.990413,0.998991,0.991597,0.158263,0.841737,0.008403,0.99167,0.991597,0.991233,0.908858,0.990413,0.993292,0.952343,0.991597,0.001,0.003,0,0.015625,0,15.625,155164,153235,18580,99.159664,50,?
opla_dm1_nominal,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,119,0,0,100,0,0,1,0.000279,0.000381,0.254361,0.162044,38.41035,0.047902,38.362448,0.322776,0.000403,0.322374,38.362448,0.322374,99.875289,1,112,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.004,0,0,0,0,155204,153235,18580,100,50,?
opla_dm1_nominal,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,117,2,0,98.319328,1.680672,0,0.824742,0.017026,0.129521,15.525207,55.045556,38.41035,20.183224,18.227126,0.322776,0.169607,0.153169,29.966961,0.251823,78.017932,1,112,0.285714,2,0.714286,5,0,0,0.982456,1,0.99115,0.837708,0.991071,0.998904,0.983193,0.268908,0.731092,0.016807,0.983488,0.983193,0.981867,0.837708,0.991071,0.990565,0.912242,0.983193,0,0.004,0,0,0,0,155172,153235,18580,98.319328,50,?
opla_dm1_nominal,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,119,0,0,100,0,0,1,0.000235,0.000321,0.214339,0.13625,38.41035,0.040363,38.369987,0.322776,0.000339,0.322437,38.369987,0.322437,99.894915,1,112,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.004,0,0,0,0,155220,153235,18580,100,50,?
opla_dm1_nominal,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,117,2,0,98.319328,1.680672,0,0.848214,0.017,0.129521,15.501802,55.045522,38.41035,20.178815,18.231535,0.322776,0.16957,0.153206,29.971369,0.25186,78.029409,0.991071,111,0.142857,1,0.857143,6,0.008929,1,0.991071,0.991071,0.991071,0.848214,0.995536,0.999522,0.983193,0.134979,0.865021,0.016807,0.983193,0.983193,0.983193,0.848214,0.995536,0.995672,0.924107,0.983193,0,0.004,0,0,0,0,155164,153235,18580,98.319328,50,?
opla_dm1_nominal,1,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.91866,0.008645,0.091585,7.8832,38.923244,38.41035,10.114323,28.296027,0.322776,0.084994,0.237782,34.165944,0.287109,88.949839,1,112,0.142857,1,0.857143,6,0,0,0.99115,1,0.995556,0.921714,0.993622,0.99921,0.991597,0.134454,0.865546,0.008403,0.991671,0.991597,0.991292,0.921714,0.993622,0.994313,0.959316,0.991597,0,0.004,0,0,0,0,155228,153235,18580,99.159664,50,?
opla_dm1_nominal,2,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1073,120,120,0,0,100,0,0,1,0.000246,0.000351,0.225222,0.149778,38.495853,0.04262,38.453233,0.320799,0.000355,0.320444,38.453233,0.320444,99.889287,1,113,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.003,0,0,0,0,155087,153094,18721,100,50,?
opla_dm1_nominal,2,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1073,120,120,0,0,100,0,0,1,0.000257,0.000362,0.234928,0.154567,38.495853,0.044457,38.451396,0.320799,0.00037,0.320428,38.451396,0.320428,99.884515,1,113,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.005,0,0.015625,0,15.625,155087,153094,18721,100,50,?
opla_dm1_nominal,2,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1073,120,119,1,0,99.166667,0.833333,0,0.92891,0.008582,0.091203,7.853002,38.913449,38.495853,10.11447,28.381384,0.320799,0.084287,0.236512,34.25122,0.285427,88.973791,0.99115,112,0,0,1,7,0.00885,1,1,0.99115,0.995556,0.931266,1,1,0.991667,0.000516,0.999484,0.008333,0.992708,0.991667,0.991926,0.931266,1,1,0.964444,0.991667,0.001,0.004,0,0,0,0,155095,153094,18721,99.166667,50,?
opla_dm1_nominal,2,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,119,0,0,100,0,0,1,0.000244,0.000333,0.237142,0.152219,34.401056,0.041971,34.359085,0.289085,0.000353,0.288732,34.359085,0.288732,99.877996,1,113,0,0,1,6,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.004,0,0.015625,0,15.625,155220,153235,18580,100,50,?
opla_dm1_nominal,2,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.904724,0.008625,0.091585,8.368234,41.827117,34.401056,10.110831,24.290224,0.289085,0.084965,0.20412,30.181802,0.253629,87.735103,1,113,0.166667,1,0.833333,5,0,0,0.991228,1,0.995595,0.908858,0.9941,0.999379,0.991597,0.158263,0.841737,0.008403,0.99167,0.991597,0.991233,0.908858,0.9941,0.994608,0.952343,0.991597,0.001,0.007,0,0,0,0,155164,153235,18580,99.159664,50,?
opla_dm1_nominal,2,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.91866,0.008628,0.091585,7.867406,38.923217,38.41035,10.111348,28.299002,0.322776,0.084969,0.237807,34.168919,0.287134,88.957583,1,112,0.142857,1,0.857143,6,0,0,0.99115,1,0.995556,0.921714,0.995536,0.999447,0.991597,0.134454,0.865546,0.008403,0.991671,0.991597,0.991292,0.921714,0.995536,0.995278,0.959316,0.991597,0,0.004,0,0,0,0,155164,153235,18580,99.159664,50,?
opla_dm1_nominal,2,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,117,2,0,98.319328,1.680672,0,0.848214,0.017032,0.129521,15.530511,55.045581,38.41035,20.184224,18.226126,0.322776,0.169615,0.153161,29.965961,0.251815,78.015329,0.991071,111,0.142857,1,0.857143,6,0.008929,1,0.991071,0.991071,0.991071,0.848214,0.992347,0.999124,0.983193,0.134979,0.865021,0.016807,0.983193,0.983193,0.983193,0.848214,0.992347,0.99404,0.924107,0.983193,0.001,0.007,0,0,0,0,155196,153235,18580,98.319328,50,?
opla_dm1_nominal,2,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.91866,0.008653,0.091585,7.890638,38.923262,38.41035,10.115724,28.294626,0.322776,0.085006,0.23777,34.164543,0.287097,88.946191,1,112,0.142857,1,0.857143,6,0,0,0.99115,1,0.995556,0.921714,0.992985,0.999131,0.991597,0.134454,0.865546,0.008403,0.991671,0.991597,0.991292,0.921714,0.992985,0.994047,0.959316,0.991597,0.001,0.004,0,0,0,0,155236,153235,18580,99.159664,50,?
opla_dm1_nominal,2,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.91866,0.008662,0.091585,7.898594,38.923283,38.41035,10.117223,28.293127,0.322776,0.085019,0.237757,34.163045,0.287084,88.94229,1,112,0.142857,1,0.857143,6,0,0,0.99115,1,0.995556,0.921714,0.992347,0.999052,0.991597,0.134454,0.865546,0.008403,0.991671,0.991597,0.991292,0.921714,0.992347,0.9938,0.959316,0.991597,0,0.004,0,0,0,0,155172,153235,18580,99.159664,50,?
